fold,n_train,n_train_after_outlier,n_train_outlier_removed,n_valid,n_train_groups,n_valid_groups,macro_f1,balanced_accuracy,accuracy,auc_ovr_macro
1,70,70,0,24,7,2,0.4375,0.5,0.5,NaN
2,72,72,0,22,7,2,0.40075973409306737,0.5666666666666667,0.5909090909090909,NaN
3,76,76,0,18,7,2,0.5178571428571428,0.5416666666666666,0.6666666666666666,NaN
4,76,76,0,18,7,2,0.5178571428571428,0.5416666666666666,0.6666666666666666,NaN
5,82,82,0,12,8,1,0.4782608695652174,0.9166666666666666,0.9166666666666666,NaN
